"title","price_norm","host","link"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"semillas de marihuana autoflorecientes","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana-autoflorecientes/"
"Northern Lights Auto","9","genehtik.com","https://www.genehtik.com/producto/northern-lights-auto/"
"Kritikal Bilbo Auto","9","genehtik.com","https://www.genehtik.com/producto/kritikal-bilbo-auto/"
"Delhi Cheese – AutoFem","15","visionseeds.nl","https://www.visionseeds.nl/product/delhi-cheese-autofem/"
"Auto King Kong","0,15","drunderground.com","https://drunderground.com/producto/auto-king-kong/"
"Spliff Cheese Automatic Female Cannabis Seeds","24","spliffseeds.nl","https://www.spliffseeds.nl/product/spliff-cheese-automatic-female-cannabis-seeds/"
"PACK 5 semillas AUTO + PACK 3 Novedades AUTO","24","genehtik.com","https://www.genehtik.com/producto/pack-5-semillas-autoflorecientes/"
"TB Skittlez Auto","27","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-skittlez-auto/"
"TB Purple CBD Auto","27","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-purple-cbd-auto/"
"Apple Fritter Autoflower HMC Edition","42","blimburnseeds.com","https://blimburnseeds.com/apple-fritter-autoflower-hmc-edition/"
"Purple Lemonade Autoflower HMC Edition","42","blimburnseeds.com","https://blimburnseeds.com/purple-lemonade-autoflower-hmc/"
"Gorilla Glue #4 Autoflower HMC Edition","42","blimburnseeds.com","https://blimburnseeds.com/gorilla-glue-4-autoflower-hmc-edition/"
"Durban Poison Autoflower HMC Edition","42","blimburnseeds.com","https://blimburnseeds.com/durban-poison-autoflower-hmc-edition/"
"Godfather OG Auto HMC Edition","42","blimburnseeds.com","https://blimburnseeds.com/godfather-og-auto-hmc/"
"Blackberry Moonrocks Auto HMC Edition","42","blimburnseeds.com","https://blimburnseeds.com/blackberry-moonrocks-auto-hmc-edition/"
"DNA Cake Auto Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/dna-cake-auto/"
"Kosher Dawg Autoflower Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/kosher-dawg-autoflower-cannabis-seeds/"
"Sativa Elite Auto","46","blimburnseeds.com","https://blimburnseeds.com/pack-sativas-auto/"
"Indica Elite Auto","46","blimburnseeds.com","https://blimburnseeds.com/indica-elite-auto/"
"Easy Button Auto","60","blimburnseeds.com","https://blimburnseeds.com/easy-button-auto/"
"Shortcut Auto","60","blimburnseeds.com","https://blimburnseeds.com/shortcut-auto/"
"Pineapple Daddy Auto","60","blimburnseeds.com","https://blimburnseeds.com/pineapple-daddy-auto/"
"F1 AUTO","72","blimburnseeds.com","https://blimburnseeds.com/f1-auto-next-gen-autoflowers/"
"AUTO CBD GUERILLA GLUE","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/cbd-seeds/auto-cbd-guerilla-glue/"
"AUTO WILD DWARF","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-wild-dwarf-2/"
"Vision Jack &#8211; AutoFem","17,5","visionseeds.nl","https://www.visionseeds.nl/product/vision-jack-autofem/"
"La Blanca Gold AutoFem","17,5","visionseeds.nl","https://www.visionseeds.nl/product/la-blanca-gold-autofem/"
"Northern Lights – AutoFem","17,5","visionseeds.nl","https://www.visionseeds.nl/product/northern-lights-autofem/"
"AUTO WHITE WIDOW","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-white-widow-2/"
"AUTO GRANDE CRACK","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-grande-crack-3/"
