"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated","price_norm"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2419","purple-panty-cake-f-2","PURPLE PANTY CAKE F -2","2500","PPCF2","https://northcoastgenetics.com/product/purple-panty-cake-f-2","","","","25"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2217","purple-panty-cake-f1","Purple Panty Cake F1","2500","PPCF1","https://northcoastgenetics.com/product/purple-panty-cake-f1","","","","25"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2424","shebergan-x-kroeng-krawia-thai-landrace","SHEBERGAN X KROENG KRAWIA THAI LANDRACE","2500","SxKKTLR","https://northcoastgenetics.com/product/shebergan-x-kroeng-krawia-thai-landrace","","","","25"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","3309","honey-bucket-hash","Honey Bucket Hash","2500","DESR","https://northcoastgenetics.com/product/honey-bucket-hash","","","","25"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2417","killer-glue-haze-cake-f2","KILLER GLUE HAZE CAKE F2","2500","KGHCF2","https://northcoastgenetics.com/product/killer-glue-haze-cake-f2","","","","25"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2574","project-x-x-ak47","Project X x AK47","4000","PXxAK47","https://northcoastgenetics.com/product/project-x-x-ak47","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2224","burmese-kush","Burmese Kush","4000","BURKSH","https://northcoastgenetics.com/product/burmese-kush","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2229","cement-shoes-x-zamberry","ZAMBERRY X BLUE ICE","4000","ZAMxBI","https://northcoastgenetics.com/product/cement-shoes-x-zamberry","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2442","ppc-x-acapulco-gold-heirloom","PPC X ACAPULCO GOLD HEIRLOOM","4000","PPCxAGH","https://northcoastgenetics.com/product/ppc-x-acapulco-gold-heirloom","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2441","kroeg-krawia-x-molokai-kush","KROEG KRAWIA X MOLOKAI KUSH","4000","KKxMK","https://northcoastgenetics.com/product/kroeg-krawia-x-molokai-kush","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2340","killer-glue-haze","Killer Glue Haze","4000","KGH","https://northcoastgenetics.com/product/killer-glue-haze","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2433","maui-red-x-punta-rojo","MAUI RED X PUNTO ROJO","4000","MRxPR","https://northcoastgenetics.com/product/maui-red-x-punta-rojo","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2447","berry-freak-x-kroeng-krawia","BERRY FREAK X KROENG KRAWIA","4000","BFxKK","https://northcoastgenetics.com/product/berry-freak-x-kroeng-krawia","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2423","black-domina-x-moung-xai-sativa","BLACK DOMINA X MOUNG XAI SATIVA","4000","BDxMXS","https://northcoastgenetics.com/product/black-domina-x-moung-xai-sativa","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2306","purple-panty-cake-x-blue-ice","Purple Panty Cake x Blue Ice","4000","PPCxBICE","https://northcoastgenetics.com/product/purple-panty-cake-x-blue-ice","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2427","beldia-morrocian-landrace-x-wedding-cake","BELDIA MORROCIAN LANDRACE X WEDDING CAKE","4000","BMLRxWC","https://northcoastgenetics.com/product/beldia-morrocian-landrace-x-wedding-cake","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2336","black-hash-x-moang-xai","Black Hash x Moang Xai","4000","BHxMX","https://northcoastgenetics.com/product/black-hash-x-moang-xai","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2439","zamberry-x-panama-red","ZAMBERRY X PANAMA RED","4000","ZxPR","https://northcoastgenetics.com/product/zamberry-x-panama-red","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2332","black-shebergen","Black Shebergen","4000","BLSH","https://northcoastgenetics.com/product/black-shebergen","","","","40"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","2233","puna-rojo-x-kd","Punto Rojo X KD","5000","PRxKD","https://northcoastgenetics.com/product/puna-rojo-x-kd","","","","50"
"northcoastgenetics.com","https://northcoastgenetics.com/wp-json/wc/store/products","wc_store_product","3146","nevilles-haze-sage-pheno","Neville’s Haze “Sage” Pheno","5000","NHSP","https://northcoastgenetics.com/product/nevilles-haze-sage-pheno","","","","50"
