"title","price_norm","host","link"
"High Yield Selection Fem","46","blimburnseeds.com","https://blimburnseeds.com/high-yield-selection-fem/"
"Sativa Elite Fem","46","blimburnseeds.com","https://blimburnseeds.com/sativa-elite-fem/"
"F1 FEM","72","blimburnseeds.com","https://blimburnseeds.com/f1-fem-hybrid-vigor/"
"GMO Kosher Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/gmo-kosher/"
"RP 43 AKA RICHARD PETTY Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/rp-43-aka-richard-petty/"
"You Whoo Fem Cannabis Seeds","45","dnagenetics.com","https://dnagenetics.com/product/you-whoo-fem/"
"K.C. 39® (Fem)","24,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/kc-39-feminized/"
"Haze Special® (Fem)","24,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/haze-special-feminized/"
"Northern Light Special® (Fem)","24,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/feminized-seeds/northern-light-special-feminized/"
"Delhi Cheese – AutoFem","15","visionseeds.nl","https://www.visionseeds.nl/product/delhi-cheese-autofem/"
"Northern Lights – AutoFem","17,5","visionseeds.nl","https://www.visionseeds.nl/product/northern-lights-autofem/"
"La Blanca Gold AutoFem","17,5","visionseeds.nl","https://www.visionseeds.nl/product/la-blanca-gold-autofem/"
