"host","title","price_norm","sku","link","image"
"aceseeds.org","2 Guawi Feminizada","500","Guawi_feminized_seeds-1","https://www.aceseeds.org/semillas/3-guawi-feminizada/",""
"aceseeds.org","3 Thai A5 Haze Feminizada","500","ThaiA5Haze_feminized_seeds-1","https://www.aceseeds.org/semillas/3-thai-a5-haze-feminizada/",""
"aceseeds.org","A5 Haze x PCK I+D Regular","80","A5HazexPCK_regular_seeds","https://www.aceseeds.org/semillas/a5hazexpck-semillas-regulares/",""
"aceseeds.org","A5 Haze x Zamaldelica I+D Regular","80","A5HazexZamaldelica_regular_seeds","https://www.aceseeds.org/semillas/a5hazexzamaldelica-semillas-regulares/",""
"aceseeds.org","ACE Mix Feminizada","21","ACE_Mix_Feminized_cheap_seeds","https://www.aceseeds.org/semillas/ace-mix-feminizada-semillas-baratas/",""
"aceseeds.org","ACE Mix Regular","21","ACE_Mix_regular_cheap_seeds","https://www.aceseeds.org/semillas/ace-mix-regular-semillas-baratas/",""
"aceseeds.org","Afgana Maruf Selección Roja Regular","150","Afghan_Maruf_24_Red_Selection_regular_seeds","https://www.aceseeds.org/semillas/afgana-maruf-seleccion-roja-semillas-regulares/",""
"aceseeds.org","Afgana Nawa Selección Élite Regular","150","Afghan_Nawa_Elite_regular_seeds","https://www.aceseeds.org/semillas/afgana-nawa-seleccion-elite-semillas-regulares/",""
"aceseeds.org","Bangi Congo x Zamaldelica I+D Regular","50","BangiCongoxZamaldelica_regular","https://www.aceseeds.org/semillas/bangicongoxzamaldelica-regular/",""
"aceseeds.org","Bangi Haze Regular","35","Bangi_Haze_regular_seeds","https://www.aceseeds.org/semillas/bangi-haze-semillas-regulares/",""
"aceseeds.org","Bangi Haze x ErdPurt I+D Regular","50","BangiHazexErdPurt_regular_seeds","https://www.aceseeds.org/semillas/bangihazexerdpurt-regular/",""
"aceseeds.org","C5 Haze x Kali China Feminizada","65","C5HazexKaliChina_feminized_seeds","https://www.aceseeds.org/semillas/c5-haze-x-kali-china-semillas-feminizadas/",""
"aceseeds.org","C5 Haze x Panama I+D Regular","65","C5HazexPanama_regular-seeds","https://www.aceseeds.org/semillas/c5-haze-x-panama-id-regular/",""
"aceseeds.org","C5 Haze x Zamaldelica I+D Regular","65","C5HazexZamaldelica_regular-seeds","https://www.aceseeds.org/semillas/c5hazexzamaldelica-regular/",""
"aceseeds.org","Cachemira Regular","35","Kashmir_regular_seeds","https://www.aceseeds.org/semillas/cachemira-semillas-regulares/",""
"aceseeds.org","CBD # 1 x Panama I+D Feminizada","32,5","CBD1xPanama_feminized_seeds","https://www.aceseeds.org/semillas/cbd1xpanama-semillas-feminizadas/",""
"aceseeds.org","CBD # 1 x PCK morada 2002 I+D Feminizada","32,5","CBD1xPurplePCK 2002_feminized-seeds","https://www.aceseeds.org/semillas/cbd1xpurplepck-2002-semillas-feminizadas/",""
"aceseeds.org","CBD # 5 x ErdPurt I+D Regular","32,5","CBD5xErdPurt_regular_seeds","https://www.aceseeds.org/semillas/cbd5xerdpurt-semillas-regulares/",""
"aceseeds.org","China Yunnan Regular","35","China_Yunnan_regular_seeds","https://www.aceseeds.org/semillas/china-yunnan-semillas-regulares/",""
