"title","price_norm","host","link"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"Papel Natural King Size","1","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/merchandising/papel-natural-king-size/"
"Dark Cookie","0,2","drunderground.com","https://drunderground.com/producto/dark-cookie-copy-copy-copy-copy-copy/"
"Crystal M.E.T.H.","0,2","drunderground.com","https://drunderground.com/producto/crystal-meth-2/"
"Púrpura","5","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/purpura/"
"Bebé","6","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/bebe/"
"Jack Sparrow","6","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/jack-sparrow/"
"Orión","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/fotodependientes/orion/"
"La Galena","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/cbd/cbd-auto/la-galena/"
"Critical Candy","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/fotodependientes/critical-candy/"
"Kame Kush","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/kame-kush/"
"Critical Hit","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/critical-hit/"
"Sión","8","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/cbd/cbd-fem/sion/"
"Kritikal Bilbo Auto","9","genehtik.com","https://www.genehtik.com/producto/kritikal-bilbo-auto/"
"Zuri Widow","9","genehtik.com","https://www.genehtik.com/producto/zuri-widow/"
"Amnesia Bilbo","9","genehtik.com","https://www.genehtik.com/producto/amnesia-bilbo/"
"Euskal Zkittlez","9","genehtik.com","https://www.genehtik.com/producto/euskal-zkittlez/"
"Amazon Kritikal Bilbo","9","genehtik.com","https://www.genehtik.com/producto/amazon-kritikal-bilbo/"
"Gorila Bilbo","9","genehtik.com","https://www.genehtik.com/producto/gorila-bilbo/"
"PH-","9","genehtik.com","https://www.genehtik.com/producto/ph/"
"semillas de marihuana feminizadas","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana-feminizadas/"
"semillas de cannabis feminizadas","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-cannabis-feminizadas/"
"semillas de marihuana autoflorecientes","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana-autoflorecientes/"
"Kritikal Bilbo x AK-47","9","genehtik.com","https://www.genehtik.com/producto/kritikal-bilbo-x-ak-47/"
"Txomango","9","genehtik.com","https://www.genehtik.com/producto/txomango-2/"
