"Host","Endpoints","OK200","OKRate"
"humboldtseedcompany.com","2","2","100"
"bulkseedbank.org","2","2","100"
"dnagenetics.com","2","2","100"
"greenbodhi.org","2","2","100"
"drunderground.com","2","2","100"
"blimburnseeds.com","2","2","100"
"northcoastgenetics.com","2","2","100"
"spliffseeds.nl","2","2","100"
"nirvanashop.com","1","1","100"
"lasemillaautomatica.com","2","2","100"
"sensiseeds.com","2","2","100"
"genehtik.com","2","2","100"
"cbdcrew.org","2","2","100"
"kannabia.com","2","2","100"
"thebulldogseeds.com","2","2","100"
"kcbrains.com","2","2","100"
"paradise-seeds.com","2","2","100"
"visionseeds.nl","2","2","100"
"strainhunters.com","2","2","100"
"hyp3rids.com","2","2","100"
"aceseeds.org","2","2","100"
