"host","n","min","median","avg","max"
"aceseeds.org","1","7,5","7,5","7,5","7,5"
"blimburnseeds.com","1","17,5","17,5","17,5","17,5"
"bulkseedbank.org","1","17,5","17,5","17,5","17,5"
"dnagenetics.com","1","1","1","1","1"
"drunderground.com","1","0,15","0,15","0,15","0,15"
"genehtik.com","1","9","9","9","9"
"hyp3rids.com","1","90","90","90","90"
"kcbrains.com","1","9,5","9,5","9,5","9,5"
"northcoastgenetics.com","1","50","50","50","50"
"spliffseeds.nl","1","9,9","9,9","9,9","9,9"
"thebulldogseeds.com","1","27","27","27","27"
"visionseeds.nl","1","15","15","15","15"
