"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated","price_norm"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15568","lava-haze-hunter-pack","LAVA HAZE","6000","","https://hyp3rids.com/product/lava-haze-hunter-pack","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15129","la-perla-negra-mexican-heirloom","LA PERLA NEGRA MEXICAN HEIRLOOM","6000","","https://hyp3rids.com/product/la-perla-negra-mexican-heirloom","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15995","sku3k-f1-skunk-1-redux-project","SKU3K F1 &#8211; SKUNK #1 REDUX PROJECT","6000","","https://hyp3rids.com/product/sku3k-f1-skunk-1-redux-project","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14967","redwood-haze","REDWOOD HAZE","6000","","https://hyp3rids.com/product/redwood-haze","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15421","ropeadope","ROPEADOPE","6000","","https://hyp3rids.com/product/ropeadope","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","13858","lightening-bolt","LIGHTENING BOLT","6000","","https://hyp3rids.com/product/lightening-bolt","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15993","sku3k-f1-x-hawaiian-puna-diesel-ibl-male","SKU3K DEEZIL F1","6000","","https://hyp3rids.com/product/sku3k-f1-x-hawaiian-puna-diesel-ibl-male","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15991","incienso-colima-mexico-ibl-mexican-landrace","INCIENSO, COLIMA MEXICO IBL MEXICAN LANDRACE","6000","","https://hyp3rids.com/product/incienso-colima-mexico-ibl-mexican-landrace","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","12769","sunday-best","SUNDAY BEST","6000","","https://hyp3rids.com/product/sunday-best","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14505","swamp-lillie","SWAMP LILLIE","6000","","https://hyp3rids.com/product/swamp-lillie","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","16252","soba-sku3k","SOBA SKU3K","6000","","https://hyp3rids.com/product/soba-sku3k","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","13643","king_willie","KING WILLIE BX1","6000","","https://hyp3rids.com/product/king_willie","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15467","jingles","JINGLES","6000","","https://hyp3rids.com/product/jingles","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","16764","pacific-pearl","PACIFIC PEARL","6000","","https://hyp3rids.com/product/pacific-pearl","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15381","oro-negra","ORO NEGRA","6000","","https://hyp3rids.com/product/oro-negra","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","17049","omp-aka-oh-my-purple","OMP aka OH! My Purple","6000","","https://hyp3rids.com/product/omp-aka-oh-my-purple","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14542","puma-zacatecas-ibl-mexican-landrace","PUMA, ZACATECAS IBL MEXICAN LANDRACE","6000","","https://hyp3rids.com/product/puma-zacatecas-ibl-mexican-landrace","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14493","pong","PONG!!","6000","","https://hyp3rids.com/product/pong","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14975","peach-limon","PEACH LIMÓN","6000","","https://hyp3rids.com/product/peach-limon","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15443","ol-yella","OL YELLA","6000","","https://hyp3rids.com/product/ol-yella","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","13885","mumbles","THE MUMBLES","6000","","https://hyp3rids.com/product/mumbles","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","15994","mosh-pit","MOSH PIT","6000","","https://hyp3rids.com/product/mosh-pit","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14551","red-lime","RED LIME","6000","","https://hyp3rids.com/product/red-lime","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","16803","purple-coulee","PURPLE COULEE","6000","","https://hyp3rids.com/product/purple-coulee","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","14481","red-ii","RED II","6000","","https://hyp3rids.com/product/red-ii","","","","60"
"hyp3rids.com","https://hyp3rids.com/wp-json/wc/store/products","wc_store_product","13903","no-2","No.2 F1","6000","","https://hyp3rids.com/product/no-2","","","","60"
