"host","source_url","type","id","slug","title","price","sku","link","image","vendor","updated","price_norm"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111278","spliff-cheese-automatic-female-cannabis-seeds","Spliff Cheese Automatic Female Cannabis Seeds","2400","8955546A","https://www.spliffseeds.nl/product/spliff-cheese-automatic-female-cannabis-seeds/","","","","24"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111269","haze-regular-cannabis-seeds","Haze #1 Regular Cannabis Seeds","990","8902201","https://www.spliffseeds.nl/product/haze-regular-cannabis-seeds/","","","","9,9"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111270","blue-berry-regular-cannabis-seeds","Blue Berry Regular Cannabis Seeds","1750","8900404","https://www.spliffseeds.nl/product/blue-berry-regular-cannabis-seeds/","","","","17,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111268","jack-f1-regular-cannabis-seeds","Jack F1 Regular Cannabis Seeds","1750","8902816","https://www.spliffseeds.nl/product/jack-f1-regular-cannabis-seeds/","","","","17,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111264","super-skunk-regular-cannabis-seeds","Super Skunk Regular Cannabis Seeds","1750","8905561","https://www.spliffseeds.nl/product/super-skunk-regular-cannabis-seeds/","","","","17,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111274","dutch-automatic-female-cannabis-seeds","Dutch Automatic Female Cannabis Seeds","2490","8951001A","https://www.spliffseeds.nl/product/dutch-automatic-female-cannabis-seeds/","","","","24,9"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111275","dutch-blue-automatic-female-cannabis-seeds","Dutch Blue Automatic Female Cannabis Seeds","2490","8951004A","https://www.spliffseeds.nl/product/dutch-blue-automatic-female-cannabis-seeds/","","","","24,9"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111283","afghani-gold-female-cannabis-seeds","Afghani Gold Female Cannabis Seeds","2750","8950116","https://www.spliffseeds.nl/product/afghani-gold-female-cannabis-seeds/","","","","27,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142114","nevilles-haze-automatic-female-cannabis-seeds","Neville&#8217;s Haze Automatic Female Cannabis Seeds","2750","8954022A","https://www.spliffseeds.nl/product/nevilles-haze-automatic-female-cannabis-seeds/","","","","27,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142111","mint-runtz-automatic-female-cannabis-seeds","Mint Runtz Automatic Female Cannabis Seeds","2750","8953752A","https://www.spliffseeds.nl/product/mint-runtz-automatic-female-cannabis-seeds/","","","","27,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111282","lemon-cream-kush-automatic-female-cannabis-seeds","Lemon Cream Kush Automatic Female Cannabis Seeds","2750","8953407A","https://www.spliffseeds.nl/product/lemon-cream-kush-automatic-female-cannabis-seeds/","","","","27,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142099","gelato-automatic-female-cannabis-seeds","Gelato Automatic Female Cannabis Seeds","2750","8951934A","https://www.spliffseeds.nl/product/gelato-automatic-female-cannabis-seeds/","","","","27,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142093","blue-dream-automatic-female-cannabis-seeds","Blue Dream Automatic Female Cannabis Seeds","2750","8950410A","https://www.spliffseeds.nl/product/blue-dream-automatic-female-cannabis-seeds/","","","","27,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111262","purple-berry-kush-female-cannabis-seeds","Purple Berry Kush Female Cannabis Seeds","2990","8954661","https://www.spliffseeds.nl/product/purple-berry-kush-female-cannabis-seeds/","","","","29,9"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142117","nevilles-haze-female-cannabis-seeds","Neville&#8217;s Haze Female Cannabis Seeds","3250","8954022","https://www.spliffseeds.nl/product/nevilles-haze-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111286","blue-berry-female-cannabis-seeds","Blue Berry Female Cannabis Seeds","3250","8950404","https://www.spliffseeds.nl/product/blue-berry-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111310","zkittlez-female-cannabis-seeds","Zkittlez Female Cannabis Seeds","3250","8957631","https://www.spliffseeds.nl/product/zkittlez-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111296","power-plant-female-cannabis-seeds","Power Plant Female Cannabis Seeds","3250","8954646","https://www.spliffseeds.nl/product/power-plant-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111300","super-skunk-female-cannabis-seeds","Super Skunk Female Cannabis Seeds","3250","8955561","https://www.spliffseeds.nl/product/super-skunk-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111285","amnesiac-female-cannabis-seeds","Amnesiac Female Cannabis Seeds","3250","8950137","https://www.spliffseeds.nl/product/amnesiac-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111284","ak-female-cannabis-seeds","AK Female Cannabis Seeds","3250","8950131","https://www.spliffseeds.nl/product/ak-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142096","gelato-female-cannabis-seeds","Gelato Female Cannabis Seeds","3250","8951934","https://www.spliffseeds.nl/product/gelato-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142105","gorilla-female-cannabis-seeds","Gorilla Female Cannabis Seeds","3250","8951943","https://www.spliffseeds.nl/product/gorilla-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111309","girls-scout-cookies-female-cannabis-seeds","Girls Scout Cookies Female Cannabis Seeds","3250","8951925","https://www.spliffseeds.nl/product/girls-scout-cookies-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111292","gold-bar-kush-female-cannabis-seeds","Gold Bar Kush Female Cannabis Seeds","3250","8951931","https://www.spliffseeds.nl/product/gold-bar-kush-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111287","blue-medi-kush-female-cannabis-seeds","Blue Medi Kush Female Cannabis Seeds","3250","8950437","https://www.spliffseeds.nl/product/blue-medi-kush-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","142090","blue-dream-female-cannabis-seeds","Blue Dream Female Cannabis Seeds","3250","8950410","https://www.spliffseeds.nl/product/blue-dream-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111281","lemon-cream-kush-female-cannabis-seeds","Lemon Cream Kush Female Cannabis Seeds","3250","8953407","https://www.spliffseeds.nl/product/lemon-cream-kush-female-cannabis-seeds/","","","","32,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111302","white-widow-female-cannabis-seeds","White Widow Female Cannabis Seeds","3490","8956767","https://www.spliffseeds.nl/product/white-widow-female-cannabis-seeds/","","","","34,9"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111279","sweet-n-sour-outdoor-female-cannabis-seeds","Sweet &#8216;n Sour Outdoor Female Cannabis Seeds","3650","8955567","https://www.spliffseeds.nl/product/sweet-n-sour-outdoor-female-cannabis-seeds/","","","","36,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111299","spliff-s-strawberry-female-cannabis-seeds","Spliff Strawberry Female Cannabis Seeds","3650","8955558","https://www.spliffseeds.nl/product/spliff-s-strawberry-female-cannabis-seeds/","","","","36,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111276","fast-bud-outdoor-female-cannabis-seeds","Fast Bud Outdoor Female Cannabis Seeds","3650","8951604","https://www.spliffseeds.nl/product/fast-bud-outdoor-female-cannabis-seeds/","","","","36,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111297","snow-white-female-cannabis-seeds","Snow White Female Cannabis Seeds","3650","8955540","https://www.spliffseeds.nl/product/snow-white-female-cannabis-seeds/","","","","36,5"
"spliffseeds.nl","https://spliffseeds.nl/wp-json/wc/store/products","wc_store_product","111301","sweet-n-sour-indoor-female-cannabis-seeds","Sweet &#8216;n Sour Female Cannabis Seeds","3650","895082","https://www.spliffseeds.nl/product/sweet-n-sour-indoor-female-cannabis-seeds/","","","","36,5"
