"title","price_norm","host","link"
"Marruecos Beldia Kif Feminizada","11","aceseeds.org","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/"
"Gorilla Punch Auto","17,5","blimburnseeds.com","https://blimburnseeds.com/gorilla-punch-auto/"
"AUTO STRAWBERRY FERRY","17,5","bulkseedbank.org","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-strawberry-ferry-2/"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"Strawbilbo Banana Auto","9","genehtik.com","https://www.genehtik.com/producto/strawbilbo-banana-auto/"
"REDWOOD HAZE","60","hyp3rids.com","https://hyp3rids.com/product/redwood-haze"
"Afghani Special Regular®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/afghani-special-regular/"
"BONGI HAZE X WEDDING CAKE","25","northcoastgenetics.com","https://northcoastgenetics.com/product/bongi-haze-x-wedding-cake"
"Master Kush Regular Cannabis Seeds","9,9","spliffseeds.nl","https://www.spliffseeds.nl/product/master-kush-regular-cannabis-seeds/"
"TB Strawberry Haze Auto","20","thebulldogseeds.com","https://thebulldogseeds.com/product/tb-strawberry-haze-auto/"
"Delhi Cheese – AutoFem","15","visionseeds.nl","https://www.visionseeds.nl/product/delhi-cheese-autofem/"
