"host","n","min","median","avg","max"
"aceseeds.org","67","11","42,25","71,18","500"
"blimburnseeds.com","28","17,5","42","37,91","72"
"bulkseedbank.org","31","17,5","17,5","17,5","17,5"
"dnagenetics.com","41","45","80,05","78,13","420"
"genehtik.com","5","9","9","9","9"
"hyp3rids.com","12","60","60","69,17","90"
"kcbrains.com","18","9,5","24,5","22,83","24,5"
"northcoastgenetics.com","13","25","50","51,54","100"
"spliffseeds.nl","27","9,9","32,5","28,26","36,5"
"thebulldogseeds.com","6","20","25","24,67","29"
"visionseeds.nl","8","17,5","17,5","19,69","30"
