"host","title","price_norm","link"
"aceseeds.org","Auto Malawi x Northern Lights Feminizada","5,4","https://www.aceseeds.org/semillas/auto-malawi-nl-semillas-feminizadas/"
"aceseeds.org","Marruecos Beldia Kif Feminizada","6,6","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/"
"aceseeds.org","Panama x Bangi Haze Feminizada","9","https://www.aceseeds.org/semillas/panama-bangi-haze-semillas-feminizadas/"
"aceseeds.org","Panama Feminizada","9","https://www.aceseeds.org/semillas/panama-semillas-feminizadas/"
"blimburnseeds.com","Super Boof Auto","17,5","https://blimburnseeds.com/super-boof-auto/"
"blimburnseeds.com","Blackberry Moonstones Auto","17,5","https://blimburnseeds.com/blackberry-moonstones-auto/"
"bulkseedbank.org","AUTO AMNESIA HAZE","17,5","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-amnesia-haze-2/"
"bulkseedbank.org","MASTER KUSH GRAND","17,5","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/master-kush-grand-2/"
"dnagenetics.com","Mac n Me Autoflower Cannabis Seeds","45","https://dnagenetics.com/product/mac-n-me/"
"dnagenetics.com","White Chocolope Fem Cannabis Seeds","45","https://dnagenetics.com/product/white-chocolope/"
"genehtik.com","Amnesia Bilbo Auto","9","https://www.genehtik.com/producto/amnesia-bilbo-auto/"
"hyp3rids.com","BANDIT KUSH","60","https://hyp3rids.com/product/bandit-kush"
"kcbrains.com","Haze Special®","9,5","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/haze-special/"
"lasemillaautomatica.com","Lemon Ultra Haze","7","https://lasemillaautomatica.com/tienda/autoflorecientes/lemon-ultra-haze/"
"northcoastgenetics.com","BONGI HAZE X WEDDING CAKE","25","https://northcoastgenetics.com/product/bongi-haze-x-wedding-cake"
"spliffseeds.nl","Haze #1 Regular Cannabis Seeds","9,9","https://www.spliffseeds.nl/product/haze-regular-cannabis-seeds/"
"spliffseeds.nl","AK Regular Cannabis Seeds","17,5","https://www.spliffseeds.nl/product/ak-regular-cannabis-seeds/"
"thebulldogseeds.com","TB Lemon Haze Auto","20","https://thebulldogseeds.com/product/tb-lemon-haze-auto/"
"visionseeds.nl","(Auto) AK-49","17,5","https://www.visionseeds.nl/product/auto-ak-49/"
