"host","title","price_norm","link"
"aceseeds.org","Afgana Nawa Selección Élite Regular","150","https://www.aceseeds.org/semillas/afgana-nawa-seleccion-elite-semillas-regulares/"
"aceseeds.org","6 Orient Express Feminizada","500","https://www.aceseeds.org/semillas/orient-express-feminizada-copia/"
"aceseeds.org","6 C5 Haze x Kali China Feminizada","500","https://www.aceseeds.org/semillas/c5-haze-x-kali-china-feminizada-copia/"
"aceseeds.org","3 Thai A5 Haze Feminizada","500","https://www.aceseeds.org/semillas/3-thai-a5-haze-feminizada/"
"blimburnseeds.com","Shortcut Auto","60","https://blimburnseeds.com/shortcut-auto/"
"blimburnseeds.com","F1 FEM","72","https://blimburnseeds.com/f1-fem-hybrid-vigor/"
"bulkseedbank.org","AUTO NBA DIESEL","17,5","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-nba-diesel-2/"
"bulkseedbank.org","SPECIAL LIME HAZE","17,5","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/special-lime-haze-2/"
"dnagenetics.com","MacNana auto Cannabis Seeds","80,18","https://dnagenetics.com/product/macnana-auto-seeds/"
"dnagenetics.com","CheMACal Romance Auto Cannabis Seeds","80,18","https://dnagenetics.com/product/chemacal-romance-auto/"
"dnagenetics.com","Seed Vault Membership","420","https://dnagenetics.com/product/seed-vault-membership/"
"genehtik.com","semillas de marihuana","9","https://www.genehtik.com/producto/semillas-de-marihuana/"
"hyp3rids.com","CBH &#8216;PURE HAZE&#8217; | HUNTER PACK","90","https://hyp3rids.com/product/cbh-pure-haze-hunter-pack"
"kcbrains.com","K.C. 48® (Auto-Feminized)","24,5","https://kcbrains.com/shop/cannabis-seeds/auto-flowering/kc-48-auto-fem/"
"northcoastgenetics.com","Moang Xai Sativa","100","https://northcoastgenetics.com/product/moang-xai-sativa"
"spliffseeds.nl","Sweet &#8216;n Sour Outdoor Female Cannabis Seeds","36,5","https://www.spliffseeds.nl/product/sweet-n-sour-outdoor-female-cannabis-seeds/"
"spliffseeds.nl","Gold Rush Outdoor Female Cannabis Seeds","36,5","https://www.spliffseeds.nl/product/gold-rush-outdoor-female-cannabis-seeds/"
"thebulldogseeds.com","TB Mimosa Cannabis Seeds","29","https://thebulldogseeds.com/product/tb-mimosa/"
"visionseeds.nl","Amnesia x Buddha Kush","30","https://www.visionseeds.nl/product/amnesia_x_buddha_kush/"
