"host","title","price_norm","link","which"
"aceseeds.org","Marruecos Beldia Kif Feminizada","11","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/","bottom5"
"aceseeds.org","Panama x Bangi Haze Feminizada","15","https://www.aceseeds.org/semillas/panama-bangi-haze-semillas-feminizadas/","bottom5"
"aceseeds.org","Haze X Kali China Feminizada","15","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/","bottom5"
"aceseeds.org","Honduras x Panama Feminizada","15","https://www.aceseeds.org/semillas/honduras-x-panama-semillas-feminizadas/","bottom5"
"aceseeds.org","12 Marruecos Beldia Kif Regular","500","https://www.aceseeds.org/semillas/marruecos-beldia-kif-regular-copia/","top5"
"aceseeds.org","6 Purple Haze x Malawi Feminizada","500","https://www.aceseeds.org/semillas/purple-haze-x-malawi-feminizada-copia/","top5"
"aceseeds.org","12 Purple Haze x Malawi Regular","500","https://www.aceseeds.org/semillas/purple-haze-x-malawi-regular-copia/","top5"
"aceseeds.org","12 Zamaldelica Regular","500","https://www.aceseeds.org/semillas/zamaldelica-regular-copia/","top5"
"blimburnseeds.com","Cream Caramel Auto","17,5","https://blimburnseeds.com/cream-caramel-auto/","bottom5"
"blimburnseeds.com","Zkittlez x Gorilla Autoflower","17,5","https://blimburnseeds.com/zkittlez-x-gorilla-autoflower/","bottom5"
"blimburnseeds.com","F1 AUTO","72","https://blimburnseeds.com/f1-auto-next-gen-autoflowers/","top5"
"blimburnseeds.com","OG 18 Kush Cannabis Extraction","90","https://blimburnseeds.com/og-18-kush-cannabis-extraction/","top5"
"bulkseedbank.org","PURPLE GLAM KUSH","17,5","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/purple-glam-kush-2/","bottom5"
"bulkseedbank.org","AUTO AK","17,5","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-ak-2/","bottom5"
"bulkseedbank.org","AUTO EAST RYDER","17,5","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-east-ryder-2/","top5"
"bulkseedbank.org","SPECIAL LIME HAZE","17,5","https://bulkseedbank.org/cannabis-seeds/feminised-seeds/special-lime-haze-2/","top5"
"dnagenetics.com","DNA Auto Mix Pack Cannabis Seeds (Sample)","1","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/","bottom5"
"dnagenetics.com","3Peat Fem Cannabis Seeds","45","https://dnagenetics.com/product/3peat/","bottom5"
"dnagenetics.com","Watermelon Man Auto Cannabis Seeds","80,16","https://dnagenetics.com/product/watermelon-man-auto-seeds/","top5"
"dnagenetics.com","Return of the Mac Auto Cannabis Seeds","80,17","https://dnagenetics.com/product/return-of-the-mac-auto/","top5"
"genehtik.com","Nevil Bilbo Auto","9","https://www.genehtik.com/producto/nevil-bilbo-auto/","bottom5"
"genehtik.com","PACK 5 semillas AUTO + PACK 3 Novedades AUTO","24","https://www.genehtik.com/producto/pack-5-semillas-autoflorecientes/","top5"
"hyp3rids.com","BANDIT KUSH","60","https://hyp3rids.com/product/bandit-kush","bottom5"
"hyp3rids.com","CBH &#8216;PURE HAZE&#8217; | HUNTER PACK","90","https://hyp3rids.com/product/cbh-pure-haze-hunter-pack","top5"
"kcbrains.com","Leda Uno® Regular","9,5","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/leda-uno-regular/","bottom5"
"kcbrains.com","Space Mango® (Auto-Feminized)","24,5","https://kcbrains.com/shop/cannabis-seeds/auto-flowering/space-mango-auto-fem/","top5"
"northcoastgenetics.com","BONGI HAZE X WEDDING CAKE","25","https://northcoastgenetics.com/product/bongi-haze-x-wedding-cake","bottom5"
"northcoastgenetics.com","SYRIAN LANDRACE GENETICS/SATIVA HASH PLANT","50","https://northcoastgenetics.com/product/syrian-landrace","top5"
"spliffseeds.nl","Master Kush Regular Cannabis Seeds","9,9","https://www.spliffseeds.nl/product/master-kush-regular-cannabis-seeds/","bottom5"
"spliffseeds.nl","Afghan Regular Cannabis Seeds","17,5","https://www.spliffseeds.nl/product/afghan-regular-cannabis-seeds/","bottom5"
"spliffseeds.nl","Gold Rush Outdoor Female Cannabis Seeds","36,5","https://www.spliffseeds.nl/product/gold-rush-outdoor-female-cannabis-seeds/","top5"
"spliffseeds.nl","Sweet &#8216;n Sour Outdoor Female Cannabis Seeds","36,5","https://www.spliffseeds.nl/product/sweet-n-sour-outdoor-female-cannabis-seeds/","top5"
"thebulldogseeds.com","TB Strawberry Haze Auto","20","https://thebulldogseeds.com/product/tb-strawberry-haze-auto/","bottom5"
"thebulldogseeds.com","TB Mimosa Cannabis Seeds","29","https://thebulldogseeds.com/product/tb-mimosa/","top5"
"visionseeds.nl","Delhi Cheese – AutoFem","15","https://www.visionseeds.nl/product/delhi-cheese-autofem/","bottom5"
"visionseeds.nl","Amnesia x Buddha Kush","30","https://www.visionseeds.nl/product/amnesia_x_buddha_kush/","top5"
