"host","title","price_norm","link"
"aceseeds.org","Auto Zamaldelica Feminizada","11","https://www.aceseeds.org/semillas/auto-zamaldelica-semillas-feminizadas/"
"blimburnseeds.com","Godfather OG Auto","17,5","https://blimburnseeds.com/godfather-og-auto/"
"bulkseedbank.org","AUTO PURPLE GLAM KUSH","17,5","https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-purple-glam-kush-2/"
"dnagenetics.com","Chocolope 256 Fem Cannabis Seeds","45","https://dnagenetics.com/product/chocolope-256-fem/"
"genehtik.com","Amnesia Bilbo Auto","9","https://www.genehtik.com/producto/amnesia-bilbo-auto/"
"hyp3rids.com","CBH &#8216;PURE HAZE&#8217;","60","https://hyp3rids.com/product/cuban-blood-haze-pure-haze-pheno"
"kcbrains.com","KC 33® Regular","9,5","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/kc-33-regular/"
"northcoastgenetics.com","Burmese Kush x Blue Ice","25","https://northcoastgenetics.com/product/burmese-kush-x-blue-ice"
"spliffseeds.nl","Master Kush Regular Cannabis Seeds","9,9","https://www.spliffseeds.nl/product/master-kush-regular-cannabis-seeds/"
"thebulldogseeds.com","TB Lemon Haze Auto","20","https://thebulldogseeds.com/product/tb-lemon-haze-auto/"
"visionseeds.nl","Northern Lights – AutoFem","17,5","https://www.visionseeds.nl/product/northern-lights-autofem/"
