"title","price_norm","host","link"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"Papel Natural King Size","1","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/merchandising/papel-natural-king-size/"
"Dark Cookie","0,2","drunderground.com","https://drunderground.com/producto/dark-cookie-copy-copy-copy-copy-copy/"
"Crystal M.E.T.H.","0,2","drunderground.com","https://drunderground.com/producto/crystal-meth-2/"
"Púrpura","5","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/purpura/"
"Bebé","6","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/bebe/"
"Jack Sparrow","6","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/jack-sparrow/"
"Orión","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/fotodependientes/orion/"
"La Galena","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/cbd/cbd-auto/la-galena/"
"Critical Candy","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/fotodependientes/critical-candy/"
