"title","price_norm","host","link"
"Patrick Swayze Auto Cannabis Seeds","80,18","dnagenetics.com","https://dnagenetics.com/product/patrick-swayze-auto/"
"CheMACal Romance Auto Cannabis Seeds","80,18","dnagenetics.com","https://dnagenetics.com/product/chemacal-romance-auto/"
"Return of the Mac Auto Cannabis Seeds","80,17","dnagenetics.com","https://dnagenetics.com/product/return-of-the-mac-auto/"
"Purple People Eater Auto Cannabis Seeds","80,16","dnagenetics.com","https://dnagenetics.com/product/purple-people-eater-auto-seeds/"
"Double Dipped Strawberries Cannabis Seeds","80,16","dnagenetics.com","https://dnagenetics.com/product/double-dipped-strawberry/"
"Canelo auto Cannabis Seeds","80,16","dnagenetics.com","https://dnagenetics.com/product/canelo-auto-seeds/"
"The Big Mac Auto Cannabis Seeds","80,16","dnagenetics.com","https://dnagenetics.com/product/the-big-mac-auto/"
"Watermelon Man Auto Cannabis Seeds","80,16","dnagenetics.com","https://dnagenetics.com/product/watermelon-man-auto-seeds/"
"Sour Garlic x Honey Banana Fem Cannabis Seeds","80,14","dnagenetics.com","https://dnagenetics.com/product/sour-garlic-x-honey-banana/"
"Swiss Miss Fem Cannabis Seeds","80,14","dnagenetics.com","https://dnagenetics.com/product/swiss-miss-fem/"
