"title","price_norm","host","link"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"Strawbilbo Banana Auto","9","genehtik.com","https://www.genehtik.com/producto/strawbilbo-banana-auto/"
"Nevil Bilbo Auto","9","genehtik.com","https://www.genehtik.com/producto/nevil-bilbo-auto/"
"Txerri Bilbo Haze","9","genehtik.com","https://www.genehtik.com/producto/txerri-bilbo-haze/"
"semillas de marihuana feminizadas","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana-feminizadas/"
"Northern Lights Auto","9","genehtik.com","https://www.genehtik.com/producto/northern-lights-auto/"
"Leda Uno® Regular","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/leda-uno-regular/"
"KC 33® Regular","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/kc-33-regular/"
"Bahia Black Head Regular®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/bahia-black-head-regular/"
"Afghani Special Regular®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/afghani-special-regular/"
"Master Kush Regular Cannabis Seeds","9,9","spliffseeds.nl","https://www.spliffseeds.nl/product/master-kush-regular-cannabis-seeds/"
"Marruecos Beldia Kif Feminizada","11","aceseeds.org","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/"
"Panama Haze Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/panama-haze-semillas-feminizadas/"
"Guawi Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/guawi-semillas-feminizadas/"
"Haze X Kali China Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/hazexkalichina-semillas-feminizadas/"
"Purple Haze x Malawi Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/purple-hazexmalawi-semillas-feminizadas/"
"Honduras x Panama Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/honduras-x-panama-semillas-feminizadas/"
"Panama x Bangi Haze Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/panama-bangi-haze-semillas-feminizadas/"
"Kali China Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/kali-china-semillas-feminizadas/"
"Super Malawi Haze Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/super-malawi-haze-semillas-feminizadas/"
