"title","price_norm","host","link"
"DNA Auto Mix Pack Cannabis Seeds (Sample)","1","dnagenetics.com","https://dnagenetics.com/product/dna-auto-mix-pack-cannabis-seeds-sample/"
"Marruecos Beldia Kif Feminizada","5,5","aceseeds.org","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-feminizadas/"
"Kame Kush","7","lasemillaautomatica.com","https://lasemillaautomatica.com/tienda/autoflorecientes/kame-kush/"
"ErdPurt Feminizada","7,5","aceseeds.org","https://www.aceseeds.org/semillas/erdpurt-semillas-feminizadas/"
"Strawbilbo Banana Auto","9","genehtik.com","https://www.genehtik.com/producto/strawbilbo-banana-auto/"
"Txerri Bilbo Haze","9","genehtik.com","https://www.genehtik.com/producto/txerri-bilbo-haze/"
"semillas de marihuana","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana/"
"semillas de marihuana autoflorecientes","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-marihuana-autoflorecientes/"
"semillas de cannabis autoflorecientes","9","genehtik.com","https://www.genehtik.com/producto/semillas-de-cannabis-autoflorecientes/"
"Northern Lights Auto","9","genehtik.com","https://www.genehtik.com/producto/northern-lights-auto/"
"Auto Malawi x Northern Lights Feminizada","9","aceseeds.org","https://www.aceseeds.org/semillas/auto-malawi-nl-semillas-feminizadas/"
"Bahia Black Head Regular®","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/bahia-black-head-regular/"
"KC 36® Regular","9,5","kcbrains.com","https://kcbrains.com/shop/cannabis-seeds/regular-seeds/kc-36-regular/"
"Haze #1 Regular Cannabis Seeds","9,9","spliffseeds.nl","https://www.spliffseeds.nl/product/haze-regular-cannabis-seeds/"
"Marruecos Beldia Kif Regular","13","aceseeds.org","https://www.aceseeds.org/semillas/marruecos-beldia-kif-semillas-regulares/"
"Malawi Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/malawi-semillas-feminizadas/"
"Malawi x Panamá Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/malawixpanama-semillas-feminizadas/"
"Guawi Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/guawi-semillas-feminizadas/"
"Panama Haze Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/panama-haze-semillas-feminizadas/"
"Honduras x Panama Feminizada","15","aceseeds.org","https://www.aceseeds.org/semillas/honduras-x-panama-semillas-feminizadas/"
