"Name","URL","Status","ContentType","Kind","Keys","Sample","Error"
"Sensi Seeds","https://sensiseeds.com/wp-json/","200","application/json","object","name,description,url,home,gmt_offset,timezone_string,page_for_posts,page_on_front,show_on_front,namespaces,authentication,routes,site_logo,site_icon,site_icon_url,_links","{
    ""name"":  ""Sensi Seeds"",
    ""description"":  ""Die modernsten Cannabis-Nachrichten, Forschungen und Anwendungen"",
    ""url"":  ""https://sensiseeds.com/blog"",
    ""home"":  ""https://sensiseeds.com"",
    ""gmt_offset"":  ""1"",
    ""timezone_string"":  """",
    ""page_for_posts"":  0,
    ""page_on_front"":  1822,
    ""show_on_front"":  ""page"",
    ""namespaces"":  [
                       ""oembed/1.0"",
                       ""akismet/v1"",
                       ""yoast/v1"",
                       ""wp-super-cache/v1"",
                       ""aam/v2"",
                       ""aam/v2/service"",
                       ""aam/v1"",
                       ""pll/v1"",
                       ""contextual-related-posts/v1"",
                       ""spectra/v1"",
                       ""uag/v1"",
    ",""
"Sensi Seeds","https://sensiseeds.com/wp-json/wp/v2/","200","application/json","object","namespace,routes,_links","{
    ""namespace"":  ""wp/v2"",
    ""routes"":  {
                   ""/wp/v2"":  {
                                  ""namespace"":  ""wp/v2"",
                                  ""methods"":  ""GET"",
                                  ""endpoints"":  """",
                                  ""_links"":  ""@{self=System.Object[]}""
                              },
                   ""/wp/v2/posts"":  {
                                        ""namespace"":  ""wp/v2"",
                                        ""methods"":  ""GET POST"",
                                        ""endpoints"":  "" "",
                                        ""_links"":  ""@{self=System.Object[]}""
                                    },
                   ""/wp/v2/posts/(?P\u003cid\u003e[\\d]+)"":  {
                                     ",""
"Sensi Seeds Research","https://sensiseeds.com/wp-json/","200","application/json","object","name,description,url,home,gmt_offset,timezone_string,page_for_posts,page_on_front,show_on_front,namespaces,authentication,routes,site_logo,site_icon,site_icon_url,_links","{
    ""name"":  ""Sensi Seeds"",
    ""description"":  ""Die modernsten Cannabis-Nachrichten, Forschungen und Anwendungen"",
    ""url"":  ""https://sensiseeds.com/blog"",
    ""home"":  ""https://sensiseeds.com"",
    ""gmt_offset"":  ""1"",
    ""timezone_string"":  """",
    ""page_for_posts"":  0,
    ""page_on_front"":  1822,
    ""show_on_front"":  ""page"",
    ""namespaces"":  [
                       ""oembed/1.0"",
                       ""akismet/v1"",
                       ""yoast/v1"",
                       ""wp-super-cache/v1"",
                       ""aam/v2"",
                       ""aam/v2/service"",
                       ""aam/v1"",
                       ""pll/v1"",
                       ""contextual-related-posts/v1"",
                       ""spectra/v1"",
                       ""uag/v1"",
    ",""
"Sensi Seeds Research","https://sensiseeds.com/wp-json/wp/v2/","200","application/json","object","namespace,routes,_links","{
    ""namespace"":  ""wp/v2"",
    ""routes"":  {
                   ""/wp/v2"":  {
                                  ""namespace"":  ""wp/v2"",
                                  ""methods"":  ""GET"",
                                  ""endpoints"":  """",
                                  ""_links"":  ""@{self=System.Object[]}""
                              },
                   ""/wp/v2/posts"":  {
                                        ""namespace"":  ""wp/v2"",
                                        ""methods"":  ""GET POST"",
                                        ""endpoints"":  "" "",
                                        ""_links"":  ""@{self=System.Object[]}""
                                    },
                   ""/wp/v2/posts/(?P\u003cid\u003e[\\d]+)"":  {
                                     ",""
"Nirvana","https://nirvanashop.com/products.json","200","application/json","object","products","{
    ""products"":  [
                     {
                         ""id"":  10541118914824,
                         ""title"":  ""Zkittlez Feminized 100 Seeds"",
                         ""handle"":  ""zkittlez-feminized-100-seeds"",
                         ""body_html"":  null,
                         ""published_at"":  ""2025-10-06T14:36:25+02:00"",
                         ""created_at"":  ""2025-10-03T13:49:33+02:00"",
                         ""updated_at"":  ""2025-10-10T20:29:10+02:00"",
                         ""vendor"":  ""Nirvana Shop"",
                         ""product_type"":  """",
                         ""tags"":  ""Wholesale"",
                         ""variants"":  """",
                         ""images"":  """",
                         ""options"":  """"
                     },
           ",""
"Spliff Seeds","https://spliffseeds.nl/wp-json/","200","application/json","object","name,description,url,home,gmt_offset,timezone_string,page_for_posts,page_on_front,show_on_front,namespaces,authentication,routes,site_logo,site_icon,site_icon_url,_links","{
    ""name"":  ""Spliff Seeds"",
    ""description"":  ""Cultivating Quality Cannabis Seeds Since 1995"",
    ""url"":  ""http://www.spliffseeds.nl"",
    ""home"":  ""https://www.spliffseeds.nl"",
    ""gmt_offset"":  2,
    ""timezone_string"":  ""Europe/Amsterdam"",
    ""page_for_posts"":  0,
    ""page_on_front"":  509,
    ""show_on_front"":  ""page"",
    ""namespaces"":  [
                       ""oembed/1.0"",
                       ""wpml/v1"",
                       ""age-gate/v3"",
                       ""rankmath/v1"",
                       ""rankmath/v1/setupWizard"",
                       ""rankmath/v1/an"",
                       ""siteground-settings/v1"",
                       ""siteground-optimizer/v1"",
                       ""wc/v3"",
                       ""wc/v1"",
                       """,""
"Spliff Seeds","https://spliffseeds.nl/wp-json/wp/v2/","200","application/json","object","namespace,routes,_links","{
    ""namespace"":  ""wp/v2"",
    ""routes"":  {
                   ""/wp/v2"":  {
                                  ""namespace"":  ""wp/v2"",
                                  ""methods"":  ""GET"",
                                  ""endpoints"":  """",
                                  ""_links"":  ""@{self=System.Object[]}""
                              },
                   ""/wp/v2/posts"":  {
                                        ""namespace"":  ""wp/v2"",
                                        ""methods"":  ""GET POST"",
                                        ""endpoints"":  "" "",
                                        ""_links"":  ""@{self=System.Object[]}""
                                    },
                   ""/wp/v2/posts/(?P\u003cid\u003e[\\d]+)"":  {
                                     ",""
"Ace Seeds","https://aceseeds.org/wp-json/","200","application/json","object","name,description,url,home,gmt_offset,timezone_string,page_for_posts,page_on_front,show_on_front,namespaces,authentication,routes,site_logo,site_icon,site_icon_url,_links","{
    ""name"":  ""ACE Seeds"",
    ""description"":  """",
    ""url"":  ""https://www.aceseeds.org"",
    ""home"":  ""https://www.aceseeds.org"",
    ""gmt_offset"":  2,
    ""timezone_string"":  ""Europe/Madrid"",
    ""page_for_posts"":  0,
    ""page_on_front"":  23114,
    ""show_on_front"":  ""page"",
    ""namespaces"":  [
                       ""oembed/1.0"",
                       ""wpml/v1"",
                       ""contact-form-7/v1"",
                       ""cky/v1"",
                       ""post-smtp/v1"",
                       ""post-smtp/v2"",
                       ""psd/v1"",
                       ""rankmath/v1"",
                       ""rankmath/v1/setupWizard"",
                       ""wc/v3"",
                       ""wc/v1"",
                       ""wpml/st/v1"",
                       ""wpm",""
"Ace Seeds","https://aceseeds.org/wp-json/wp/v2/","200","application/json","object","namespace,routes,_links","{
    ""namespace"":  ""wp/v2"",
    ""routes"":  {
                   ""/wp/v2"":  {
                                  ""namespace"":  ""wp/v2"",
                                  ""methods"":  ""GET"",
                                  ""endpoints"":  """",
                                  ""_links"":  ""@{self=System.Object[]}""
                              },
                   ""/wp/v2/posts"":  {
                                        ""namespace"":  ""wp/v2"",
                                        ""methods"":  ""GET POST"",
                                        ""endpoints"":  "" "",
                                        ""_links"":  ""@{self=System.Object[]}""
                                    },
                   ""/wp/v2/posts/(?P\u003cid\u003e[\\d]+)"":  {
                                     ",""
"Blimburn Seeds","https://blimburnseeds.com/wp-json/","200","application/json","object","name,description,url,home,gmt_offset,timezone_string,page_for_posts,page_on_front,show_on_front,namespaces,authentication,routes,site_logo,site_icon,site_icon_url,_links","{
    ""name"":  ""Blimburn Seeds"",
    ""description"":  ""Blimburn Seeds Bank Store | UNIQUE STRAINS SINCE 2002"",
    ""url"":  ""https://blimburnseeds.com"",
    ""home"":  ""https://blimburnseeds.com"",
    ""gmt_offset"":  -7,
    ""timezone_string"":  ""America/Los_Angeles"",
    ""page_for_posts"":  0,
    ""page_on_front"":  364382,
    ""show_on_front"":  ""page"",
    ""namespaces"":  [
                       ""oembed/1.0"",
                       ""mwai-ui/v1"",
                       ""mwai/v1"",
                       ""checkoutwc/v1"",
                       ""wc-analytics"",
                       ""code-snippets/v1"",
                       ""contact-form-7/v1"",
                       ""klaviyo/v1"",
                       ""meow-licenser/mwainotif/v1"",
                       ""nab/v1"",
            ",""
