"Host","Route","URL","Status","ContentType","Kind","Schema","Sample"
"thebulldogseeds.com","/wc/v3/products/shipping_classes/batch","https://thebulldogseeds.com/wp-json/wc/v3/products/shipping_classes/batch","404","application/json","text","",""
"thebulldogseeds.com","/wc/store/products/reviews","https://thebulldogseeds.com/wp-json/wc/store/products/reviews","200","application/json","array","id:number,product_id:number,verified:boolean,date_created_gmt:string,formatted_date_created:string,date_created:string,rating:number,review:string,product_permalink:string,product_name:string,reviewer:string,product_image:object,reviewer_avatar_urls:object","{
    ""id"":  826,
    ""date_created"":  ""2025-07-27T10:52:46"",
    ""formatted_date_created"":  ""July 27, 2025"",
    ""date_created_gmt"":  ""2025-07-27T10:52:46"",
    ""product_id"":  1415,
    ""product_name"":  ""TB Skittlez Auto"",
    ""product_permalink"":  ""https://thebulldogseeds.com/product/tb-skittlez-auto/"",
    ""product_image"":  {
                          ""id"":  1450,
                          ""src"":  ""https://thebulldogseeds.com/wp-content/uploads/2024/08/TB_SEEDS_TOP_Zkittlez_675x900px.jpg"",
                          ""thumbnail"":  ""https://thebulldogseeds.com/wp-content/uploads/2024/08/TB_SEEDS_TOP_Zkittlez_675x900px-300x300.jpg"",
                          ""srcset"":  ""https://thebulldogseeds.com/wp-content/uploads/2024/08/TB_SEEDS_TOP_Zkittlez_675x900px.jpg 675w, https://thebulldogseeds.com/wp-content/uploads/2024/08/TB_SEEDS_TOP_Zkittlez_675x900px-225x300.jpg 225w, https://thebulldogseeds.com/wp-content/uploads/2024/08/TB_SEEDS_TOP_Zkittlez_675x900px-600x800.jpg 600w"",
                          ""sizes"":  ""(max-width: 675px) 100vw, 675px"",
                          ""name"":  ""TB_SEEDS_TOP_Zkittlez_675x900px.jpg"",
                          ""alt"":  ""TB Skittlez Auto""
                      },
    ""reviewer"":  ""David Garavito"",
    ""review"":  ""\u003cp\u003eMi primera cosecha es con esta maravillosa genetica, fuerte en sus efectos que te hacen sentir los ojos muy pesados y te da una bofetada tras 3 fumadas, la recomiendo a todos\u003c/p\u003e\n"",
    ""rating"":  "
"thebulldogseeds.com","/wp/v2/product/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wp/v2/product/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","404","application/json","text","",""
"thebulldogseeds.com","/wc/v2/products/brands/batch","https://thebulldogseeds.com/wp-json/wc/v2/products/brands/batch","404","application/json","text","",""
"thebulldogseeds.com","/wp/v2/tags/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wp/v2/tags/(?P<id>[\d]+)","404","application/json","text","",""
"thebulldogseeds.com","/wc/v2/products/batch","https://thebulldogseeds.com/wp-json/wc/v2/products/batch","404","application/json","text","",""
"thebulldogseeds.com","/wc/v2/products/brands/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wc/v2/products/brands/(?P<id>[\d]+)","404","application/json","text","",""
"thebulldogseeds.com","/wc/v3/products/shipping_classes","https://thebulldogseeds.com/wp-json/wc/v3/products/shipping_classes","401","application/json","text","",""
"thebulldogseeds.com","/wc/store/products/categories","https://thebulldogseeds.com/wp-json/wc/store/products/categories","200","application/json","array","image:object,slug:string,id:number,parent:number,count:number,review_count:number,description:string,name:string,permalink:string","{
    ""id"":  39,
    ""name"":  ""Auto flowering"",
    ""slug"":  ""auto-flowering"",
    ""description"":  ""\u003ch1\u003eAuto Flowering Seeds\u003c/h1\u003e\r\nAuto flowering cannabis seeds or day neutral cannabis varieties automatically switch from vegetative growth to the flowering stage based on age, as opposed to the ratio of light to dark hours required with photoperiod dependent/short-day strains."",
    ""parent"":  44,
    ""count"":  6,
    ""image"":  {
                  ""id"":  2665,
                  ""src"":  ""https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto.jpg"",
                  ""thumbnail"":  ""https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto-300x300.jpg"",
                  ""srcset"":  ""https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto.jpg 2000w, https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto-300x200.jpg 300w, https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto-1024x683.jpg 1024w, https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto-768x512.jpg 768w, https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto-1536x1025.jpg 1536w, https://thebulldogseeds.com/wp-content/uploads/2024/09/Boxes_bg_green_Auto-600x400.jpg 600w"",
                  ""sizes"":  ""(max-width: 2000px) 100vw, 2000px"",
                  ""name"":  ""Boxes_bg_green_Auto"",
                  ""alt"":  """"
              },
    ""review_count"":  "
"thebulldogseeds.com","/wc/v2/products/shipping_classes","https://thebulldogseeds.com/wp-json/wc/v2/products/shipping_classes","401","application/json","text","",""
"thebulldogseeds.com","/wp/v2/posts/(?P<parent>[\d]+)/revisions/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wp/v2/posts/(?P<parent>[\d]+)/revisions/(?P<id>[\d]+)","404","application/json","text","",""
"thebulldogseeds.com","/wc/v2/products/categories/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wc/v2/products/categories/(?P<id>[\d]+)","404","application/json","text","",""
"thebulldogseeds.com","/wp/v2/posts/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wp/v2/posts/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","404","application/json","text","",""
"thebulldogseeds.com","/wc/v3/products/shipping_classes/slug-suggestion","https://thebulldogseeds.com/wp-json/wc/v3/products/shipping_classes/slug-suggestion","401","application/json","text","",""
"thebulldogseeds.com","/wp/v2/media/(?P<id>[\d]+)","https://thebulldogseeds.com/wp-json/wp/v2/media/(?P<id>[\d]+)","404","application/json","text","",""
