"Host","Route","URL","Status","ContentType","Kind","Schema","Sample"
"bulkseedbank.org","/wc/store/products/reviews","https://bulkseedbank.org/wp-json/wc/store/products/reviews","200","application/json","array","array<empty>",""
"bulkseedbank.org","/wc/store/products/categories","https://bulkseedbank.org/wp-json/wc/store/products/categories","200","application/json","array","image:null,slug:string,id:number,parent:number,count:number,review_count:number,description:string,name:string,permalink:string","{
    ""id"":  69,
    ""name"":  ""Autoflowering Seeds"",
    ""slug"":  ""autoflowering-seeds"",
    ""description"":  """",
    ""parent"":  0,
    ""count"":  118,
    ""image"":  null,
    ""review_count"":  0,
    ""permalink"":  ""https://bulkseedbank.org/cannabis/autoflowering-seeds/""
}"
"bulkseedbank.org","/wc/store/products/tags","https://bulkseedbank.org/wp-json/wc/store/products/tags","200","application/json","array","slug:string,id:number,parent:number,count:number,description:string,name:string","{
    ""id"":  162,
    ""name"":  ""Sativa"",
    ""slug"":  ""sativa"",
    ""description"":  """",
    ""parent"":  0,
    ""count"":  7
}"
"bulkseedbank.org","/wc/store/products/collection-data","https://bulkseedbank.org/wp-json/wc/store/products/collection-data","200","application/json","object","stock_status_counts:null,price_range:null,rating_counts:null,attribute_counts:null","{
    ""price_range"":  null,
    ""attribute_counts"":  null,
    ""rating_counts"":  null,
    ""stock_status_counts"":  null
}"
"bulkseedbank.org","/wp/v2/product","https://bulkseedbank.org/wp-json/wp/v2/product","200","application/json","array","template:string,id:number,type:string,product_tag:array<number>,modified_gmt:string,slug:string,excerpt:object,class_list:object,product_brand:array<empty>,featured_media:number,modified:string,title:object,guid:object,yoast_head_json:object,date_gmt:string,_links:object,content:object,yoast_head:string,meta:array<empty>,status:string,date:string,link:string,product_cat:array<number>","{
    ""id"":  2870,
    ""date"":  ""2019-11-12T17:13:47"",
    ""date_gmt"":  ""2019-11-12T16:13:47"",
    ""guid"":  {
                 ""rendered"":  ""https://www.dirty-toilets.com/DirtyToilets/product/auto-ak/""
             },
    ""modified"":  ""2024-05-29T14:13:52"",
    ""modified_gmt"":  ""2024-05-29T12:13:52"",
    ""slug"":  ""auto-ak-2"",
    ""status"":  ""publish"",
    ""type"":  ""product"",
    ""link"":  ""https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-ak-2/"",
    ""title"":  {
                  ""rendered"":  ""AUTO AK""
              },
    ""content"":  {
                    ""rendered"":  ""\u003cp\u003eThis is the Automatic Feminised version of our AK. It was created by crossing the legendary mostly Sativa with a Lowryder that was carefully selected to keep the AK original genetics as stable as possible. This Autofeminised version can grow over one meter in height and has an appearance of a bushy Indica plant with a main cola that is surrounded by various lower satellite branches. This variety can also be grown outdoors with little effort and provides a caregiving grower with outstanding yields in 70 days from seed to harvest.\u003c/p\u003e\n"",
                    ""protected"":  false
                },
    ""excerpt"":  {
                    ""rendered"":  ""\u003cp\u003e70% \u003cstrong\u003eSATIVA\u003c/strong\u003e \u0026#8211; 10% \u003cstrong\u003eINDICA\u003c/strong\u003e \u0026#8211; 20% \u003cstrong\u003eRUDERALIS\u003c/strong\u003e\u003c/p\u003e\n\u003cp\u0"
"bulkseedbank.org","/wc/store/products","https://bulkseedbank.org/wp-json/wc/store/products?per_page=1","200","application/json","array","description:string,has_options:boolean,variation:string,on_sale:boolean,grouped_products:array<empty>,prices:object,review_count:number,low_stock_remaining:null,is_on_backorder:boolean,add_to_cart:object,is_in_stock:boolean,average_rating:string,categories:array<object>,short_description:string,brands:array<empty>,variations:array<object>,parent:number,attributes:array<object>,price_html:string,id:number,images:array<object>,permalink:string,slug:string,tags:array<object>,extensions:object,type:string,sku:string,is_purchasable:boolean,stock_availability:object,sold_individually:boolean,name:string","{
    ""id"":  2870,
    ""name"":  ""AUTO AK"",
    ""slug"":  ""auto-ak-2"",
    ""parent"":  0,
    ""type"":  ""variable"",
    ""variation"":  """",
    ""permalink"":  ""https://bulkseedbank.org/cannabis-seeds/autoflowering-seeds/auto-ak-2/"",
    ""sku"":  """",
    ""short_description"":  ""\u003cp\u003e70% \u003cstrong\u003eSATIVA\u003c/strong\u003e \u0026#8211; 10% \u003cstrong\u003eINDICA\u003c/strong\u003e \u0026#8211; 20% \u003cstrong\u003eRUDERALIS\u003c/strong\u003e\u003c/p\u003e\n\u003cp\u003e\u003cstrong\u003eTHC\u003c/strong\u003e: 16-21% \u003cstrong\u003eCBD\u003c/strong\u003e: LOW \u003cstrong\u003eCBN\u003c/strong\u003e: N/A\u003c/p\u003e\n\u003cp\u003e\u003cstrong\u003eGENETICS\u003c/strong\u003e\u003cbr /\u003e\nAK-47 x Lowryder\u003c/p\u003e\n\u003cp\u003e\u003cstrong\u003eFLAVOUR\u003c/strong\u003e\u003cbr /\u003e\nFruity and spicy flavor and aroma.\u003c/p\u003e\n\u003cp\u003e\u003cstrong\u003eEFFECTS\u003c/strong\u003e\u003cbr /\u003e\nVery body-like, fast hitter.\u003c/p\u003e\n\u003cp\u003e\u003cstrong\u003eFLOWERING INDOOR\u003c/strong\u003e\u003cbr /\u003e\n8-9 weeks flowering time with a yield up to 500 g/m². Can be flowered at any photoperiod between 12 and 18 hours of light per day. 10-11 weeks total crop time.\u003c/p\u003e\n\u003cp\u003e\u003cstrong\u003eFLOWERING OUTDOOR\u003c/strong\u003e\u003cbr /\u003e\n8-9 weeks flowering time with a production up to 40-150 g/plant. Very strong plant, long branching. 50-140 cm total height. 10-11 weeks total crop time. Can"
"bulkseedbank.org","/wp/v2/product_cat","https://bulkseedbank.org/wp-json/wp/v2/product_cat","200","application/json","array","meta:array<empty>,name:string,id:number,slug:string,taxonomy:string,_links:object,description:string,parent:number,count:number,link:string,yoast_head:string,yoast_head_json:object","{
    ""id"":  2343,
    ""count"":  0,
    ""description"":  """",
    ""link"":  ""https://bulkseedbank.org/cannabis/all-cannabis-seeds/"",
    ""name"":  ""All Cannabis Seeds"",
    ""slug"":  ""all-cannabis-seeds"",
    ""taxonomy"":  ""product_cat"",
    ""parent"":  0,
    ""meta"":  [

             ],
    ""yoast_head"":  ""\u003c!-- This site is optimized with the Yoast SEO plugin v25.6 - https://yoast.com/wordpress/plugins/seo/ --\u003e\n\u003ctitle\u003eAll Cannabis Seeds | Bulk Seed Bank\u003c/title\u003e\n\u003cmeta name=\""robots\"" content=\""index, follow, max-snippet:-1, max-image-preview:large, max-video-preview:-1\"" /\u003e\n\u003clink rel=\""canonical\"" href=\""https://bulkseedbank.org/cannabis/all-cannabis-seeds/\"" /\u003e\n\u003cmeta property=\""og:locale\"" content=\""en_US\"" /\u003e\n\u003cmeta property=\""og:type\"" content=\""article\"" /\u003e\n\u003cmeta property=\""og:title\"" content=\""All Cannabis Seeds | Bulk Seed Bank\"" /\u003e\n\u003cmeta property=\""og:url\"" content=\""https://bulkseedbank.org/cannabis/all-cannabis-seeds/\"" /\u003e\n\u003cmeta property=\""og:site_name\"" content=\""Bulk Seed Bank\"" /\u003e\n\u003cmeta property=\""og:image\"" content=\""https://bulkseedbank.org/wp-content/uploads/WEB24-7-NOVA-COMP.jpg\"" /\u003e\n\t\u003cmeta property=\""og:image:width\"" content=\""1920\"" /\u003e\n\t\u003cmeta property=\""og:image:height\"" content=\""700\"" /\u003e\n\t\u003cmeta property=\""og:image:type\"" content=\""image/jpeg\"" /\u003e\n\u003cmeta name=\""twitter:card\"" content=\""summary_la"
"bulkseedbank.org","/wc/store/products/brands","https://bulkseedbank.org/wp-json/wc/store/products/brands","200","application/json","array","array<empty>",""
"bulkseedbank.org","/wc/store/products/attributes","https://bulkseedbank.org/wp-json/wc/store/products/attributes","200","application/json","array","id:number,type:string,taxonomy:string,count:number,order:string,has_archives:boolean,name:string","{
    ""id"":  1,
    ""name"":  ""Best For Beginners"",
    ""taxonomy"":  ""pa_best-for-beginners"",
    ""type"":  ""select"",
    ""order"":  ""menu_order"",
    ""has_archives"":  false,
    ""count"":  1
}"
"bulkseedbank.org","/wp/v2/product_brand","https://bulkseedbank.org/wp-json/wp/v2/product_brand","200","application/json","array","array<empty>",""
