"Host","Route","URL","Status","ContentType","Kind","Schema","Sample"
"bulkseedbank.org","/wc/v3/products/shipping_classes/batch","https://bulkseedbank.org/wp-json/wc/v3/products/shipping_classes/batch","404","application/json","text","",""
"bulkseedbank.org","/wc/store/products/reviews","https://bulkseedbank.org/wp-json/wc/store/products/reviews","200","application/json","array","array<empty>",""
"bulkseedbank.org","/wp/v2/product/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wp/v2/product/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wc/v2/products/brands/batch","https://bulkseedbank.org/wp-json/wc/v2/products/brands/batch","404","application/json","text","",""
"bulkseedbank.org","/wp/v2/tags/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wp/v2/tags/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wc/v2/products/batch","https://bulkseedbank.org/wp-json/wc/v2/products/batch","404","application/json","text","",""
"bulkseedbank.org","/wc/v2/products/brands/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wc/v2/products/brands/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wc/v3/products/shipping_classes","https://bulkseedbank.org/wp-json/wc/v3/products/shipping_classes","401","application/json","text","",""
"bulkseedbank.org","/wc/store/products/categories","https://bulkseedbank.org/wp-json/wc/store/products/categories","200","application/json","array","image:null,slug:string,id:number,parent:number,count:number,review_count:number,description:string,name:string,permalink:string","{
    ""id"":  69,
    ""name"":  ""Autoflowering Seeds"",
    ""slug"":  ""autoflowering-seeds"",
    ""description"":  """",
    ""parent"":  0,
    ""count"":  118,
    ""image"":  null,
    ""review_count"":  0,
    ""permalink"":  ""https://bulkseedbank.org/cannabis/autoflowering-seeds/""
}"
"bulkseedbank.org","/wc/v2/products/shipping_classes","https://bulkseedbank.org/wp-json/wc/v2/products/shipping_classes","401","application/json","text","",""
"bulkseedbank.org","/wp/v2/posts/(?P<parent>[\d]+)/revisions/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wp/v2/posts/(?P<parent>[\d]+)/revisions/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wc/v2/products/categories/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wc/v2/products/categories/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wp/v2/posts/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wp/v2/posts/(?P<parent>[\d]+)/autosaves/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wc/v3/products/shipping_classes/slug-suggestion","https://bulkseedbank.org/wp-json/wc/v3/products/shipping_classes/slug-suggestion","401","application/json","text","",""
"bulkseedbank.org","/wp/v2/media/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wp/v2/media/(?P<id>[\d]+)","404","application/json","text","",""
"bulkseedbank.org","/wc/store/products/(?P<id>[\d]+)","https://bulkseedbank.org/wp-json/wc/store/products/(?P<id>[\d]+)","404","application/json","text","",""
