"Host","Route","FullUrl","Source"
"aceseeds.org","/wc/store/products","https://aceseeds.org/wp-json/wc/store/products","wp"
"aceseeds.org","/wc/store/products/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/store/products/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/store/products/(?P<slug>[\S]+)","https://aceseeds.org/wp-json/wc/store/products/(?P<slug>[\S]+)","wp"
"aceseeds.org","/wc/store/products/attributes","https://aceseeds.org/wp-json/wc/store/products/attributes","wp"
"aceseeds.org","/wc/store/products/attributes/(?P<attribute_id>[\d]+)/terms","https://aceseeds.org/wp-json/wc/store/products/attributes/(?P<attribute_id>[\d]+)/terms","wp"
"aceseeds.org","/wc/store/products/attributes/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/store/products/attributes/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/store/products/brands","https://aceseeds.org/wp-json/wc/store/products/brands","wp"
"aceseeds.org","/wc/store/products/brands/(?P<identifier>[\w-]+)","https://aceseeds.org/wp-json/wc/store/products/brands/(?P<identifier>[\w-]+)","wp"
"aceseeds.org","/wc/store/products/categories","https://aceseeds.org/wp-json/wc/store/products/categories","wp"
"aceseeds.org","/wc/store/products/categories/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/store/products/categories/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/store/products/collection-data","https://aceseeds.org/wp-json/wc/store/products/collection-data","wp"
"aceseeds.org","/wc/store/products/reviews","https://aceseeds.org/wp-json/wc/store/products/reviews","wp"
"aceseeds.org","/wc/store/products/tags","https://aceseeds.org/wp-json/wc/store/products/tags","wp"
"aceseeds.org","/wc/v2/products","https://aceseeds.org/wp-json/wc/v2/products","wp"
"aceseeds.org","/wc/v2/products/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/v2/products/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/v2/products/(?P<product_id>[\d]+)/reviews","https://aceseeds.org/wp-json/wc/v2/products/(?P<product_id>[\d]+)/reviews","wp"
"aceseeds.org","/wc/v2/products/(?P<product_id>[\d]+)/reviews/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/v2/products/(?P<product_id>[\d]+)/reviews/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/v2/products/(?P<product_id>[\d]+)/reviews/batch","https://aceseeds.org/wp-json/wc/v2/products/(?P<product_id>[\d]+)/reviews/batch","wp"
"aceseeds.org","/wc/v2/products/(?P<product_id>[\d]+)/variations","https://aceseeds.org/wp-json/wc/v2/products/(?P<product_id>[\d]+)/variations","wp"
"aceseeds.org","/wc/v2/products/(?P<product_id>[\d]+)/variations/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/v2/products/(?P<product_id>[\d]+)/variations/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/v2/products/(?P<product_id>[\d]+)/variations/batch","https://aceseeds.org/wp-json/wc/v2/products/(?P<product_id>[\d]+)/variations/batch","wp"
"aceseeds.org","/wc/v2/products/attributes","https://aceseeds.org/wp-json/wc/v2/products/attributes","wp"
"aceseeds.org","/wc/v2/products/attributes/(?P<attribute_id>[\d]+)/terms","https://aceseeds.org/wp-json/wc/v2/products/attributes/(?P<attribute_id>[\d]+)/terms","wp"
"aceseeds.org","/wc/v2/products/attributes/(?P<attribute_id>[\d]+)/terms/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/v2/products/attributes/(?P<attribute_id>[\d]+)/terms/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/v2/products/attributes/(?P<attribute_id>[\d]+)/terms/batch","https://aceseeds.org/wp-json/wc/v2/products/attributes/(?P<attribute_id>[\d]+)/terms/batch","wp"
"aceseeds.org","/wc/v2/products/attributes/(?P<id>[\d]+)","https://aceseeds.org/wp-json/wc/v2/products/attributes/(?P<id>[\d]+)","wp"
"aceseeds.org","/wc/v2/products/attributes/batch","https://aceseeds.org/wp-json/wc/v2/products/attributes/batch","wp"
"aceseeds.org","/wc/v2/products/batch","https://aceseeds.org/wp-json/wc/v2/products/batch","wp"
"aceseeds.org","/wc/v2/products/brands","https://aceseeds.org/wp-json/wc/v2/products/brands","wp"
